api_developer_name,list_source,output_directory
"E*HealthLine.com, Inc.",http://ehealthline.com/FHIRservice%20Base%20URL%20EHL.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/e_healthline_com_inc_4246df56579a09ed63e475106341e51a
1upHealth,https://1up.health/fhir-endpoint-directory,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/1uphealth_744f5d25c1099987fc4d4a61eeaa83ac
Patagonia Health,https://21302886.fs1.hubspotusercontent-na1.net/hubfs/21302886/FHIRBaseURL.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/patagonia_health_bd332ebb7f5291b2adc3ec22469c7769
"CareTracker, Inc.",https://ac-fhir.harrisambulatory.com/endpoints/r4,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/caretracker_inc_fb608e9a6189e731e15d57f8357e46b7
Carefluence,https://admin.carefluence.com/onc/servicebaseurl.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/carefluence_5a257d85e9858f8f2ecd2b6a5eacd1d0
"Nth Technologies, Inc.",https://admin.nthtechnology.com/fhir_endpoints.php/json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/nth_technologies_inc_b9f9769e1982ba21c437fd5b1fc5bcbe
Core Solutions Inc,https://aidbox.cx360.net/service-base-urls,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/core_solutions_inc_3d64e78b91038877daae9bbd86e36611
TronsHealth LLC,https://akpc.tronshealth.com/fhirv4.0/fhir/R4/Endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/tronshealth_llc_da2c2cdcdcadd77b5bc7a3218b9bdabc
"MD Synergy Solutions, LLC",https://altheafhir.mdsynergy.com/getBundleJson,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/md_synergy_solutions_llc_fe90e5feea1bad74f45efb6932f5f4d5
"CareCloud Health, Inc.",https://api-datamanager.carecloud.com/fhirurl/Organization,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/carecloud_health_inc_6301f3eb4ca8b39856c253e9a38405d6
"Carbon Health Technologies, Inc.",https://api-gateway.alpha.awscarbonhealth.com/hapi-fhir/fhir/Bundle/$publication,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/carbon_health_technologies_inc_39d0021368b47047543dc77d391ac1f7
